,Title,Price,Shop_name,Overall_star,Star_rating,Review,Customer_date,Product_links
0,"Personalisiertes ‘Mein Reise-Wimmelbuch durch Europa’ Geschenke für Kinder 2-7, füge eine geheime Nachricht hinzu, gestalte dein Buchcover","Price:,            ,            USD 35.00+",LibrioBooks,5 out of 5 stars,5 out of 5 stars,Great item that was delivered quickly!  Very happy girl who received the gift!  Seller was responsive to my emails and attentive to any issues I had.,"Roger,                     ,                     Dec 18, 2022",https://www.etsy.com/listing/1012449319/personalisiertes-mein-reise-wimmelbuch?click_key=7b4811dd1a0e566b913359a7f84b1c455fb10677%3A1012449319&click_sum=9df2d75b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-1047850-1-1&sts=1
1,"Personalisiertes ‘Mein Reise-Wimmelbuch durch Europa’ Geschenke für Kinder 2-7, füge eine geheime Nachricht hinzu, gestalte dein Buchcover","Price:,            ,            USD 35.00+",LibrioBooks,5 out of 5 stars,5 out of 5 stars,Great item that was delivered quickly!  Very happy girl who received the gift!  Seller was responsive to my emails and attentive to any issues I had.,"Roger,                     ,                     Dec 18, 2022",https://www.etsy.com/listing/1012449319/personalisiertes-mein-reise-wimmelbuch?click_key=7b4811dd1a0e566b913359a7f84b1c455fb10677%3A1012449319&click_sum=9df2d75b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-1047850-1-1&sts=1
2,"Personalisiertes ‘Mein Reise-Wimmelbuch durch Europa’ Geschenke für Kinder 2-7, füge eine geheime Nachricht hinzu, gestalte dein Buchcover","Price:,            ,            USD 35.00+",LibrioBooks,5 out of 5 stars,5 out of 5 stars,,"Anna-Lena,                     ,                     Mar 5, 2023",https://www.etsy.com/listing/1012449319/personalisiertes-mein-reise-wimmelbuch?click_key=7b4811dd1a0e566b913359a7f84b1c455fb10677%3A1012449319&click_sum=9df2d75b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-1047850-1-1&sts=1
3,"Personalisiertes ‘Mein Reise-Wimmelbuch durch Europa’ Geschenke für Kinder 2-7, füge eine geheime Nachricht hinzu, gestalte dein Buchcover","Price:,            ,            USD 35.00+",LibrioBooks,5 out of 5 stars,5 out of 5 stars,,"Anna-Lena,                     ,                     Mar 5, 2023",https://www.etsy.com/listing/1012449319/personalisiertes-mein-reise-wimmelbuch?click_key=7b4811dd1a0e566b913359a7f84b1c455fb10677%3A1012449319&click_sum=9df2d75b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-1047850-1-1&sts=1
4,"Personalisiertes ‘Mein Reise-Wimmelbuch durch Europa’ Geschenke für Kinder 2-7, füge eine geheime Nachricht hinzu, gestalte dein Buchcover","Price:,            ,            USD 35.00+",LibrioBooks,5 out of 5 stars,5 out of 5 stars,,"Melissa,                     ,                     Dec 18, 2022",https://www.etsy.com/listing/1012449319/personalisiertes-mein-reise-wimmelbuch?click_key=7b4811dd1a0e566b913359a7f84b1c455fb10677%3A1012449319&click_sum=9df2d75b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-1047850-1-1&sts=1
5,"Personalisiertes ‘Mein Reise-Wimmelbuch durch Europa’ Geschenke für Kinder 2-7, füge eine geheime Nachricht hinzu, gestalte dein Buchcover","Price:,            ,            USD 35.00+",LibrioBooks,5 out of 5 stars,5 out of 5 stars,,"Melissa,                     ,                     Dec 18, 2022",https://www.etsy.com/listing/1012449319/personalisiertes-mein-reise-wimmelbuch?click_key=7b4811dd1a0e566b913359a7f84b1c455fb10677%3A1012449319&click_sum=9df2d75b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-1047850-1-1&sts=1
6,"Personalisiertes ‘Mein Reise-Wimmelbuch durch Europa’ Geschenke für Kinder 2-7, füge eine geheime Nachricht hinzu, gestalte dein Buchcover","Price:,            ,            USD 35.00+",LibrioBooks,5 out of 5 stars,5 out of 5 stars,,"Violeta Mulaj,                     ,                     Apr 12, 2023",https://www.etsy.com/listing/1012449319/personalisiertes-mein-reise-wimmelbuch?click_key=7b4811dd1a0e566b913359a7f84b1c455fb10677%3A1012449319&click_sum=9df2d75b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-1047850-1-1&sts=1
7,"Personalisiertes ‘Mein Reise-Wimmelbuch durch Europa’ Geschenke für Kinder 2-7, füge eine geheime Nachricht hinzu, gestalte dein Buchcover","Price:,            ,            USD 35.00+",LibrioBooks,5 out of 5 stars,5 out of 5 stars,,"Violeta Mulaj,                     ,                     Apr 12, 2023",https://www.etsy.com/listing/1012449319/personalisiertes-mein-reise-wimmelbuch?click_key=7b4811dd1a0e566b913359a7f84b1c455fb10677%3A1012449319&click_sum=9df2d75b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-1047850-1-1&sts=1
8,"Personalized Book - Dinosaur Adventure - Custom Personalized Book w/child and family personalizations, great dinosaur gift for birthday","Price:,            ,            USD 32.96+",StoryOfMeGiftStore,4.5 out of 5 stars,5 out of 5 stars,My 6 year old grandson absolutely loves his new book! He loves hearing his name throughout and his family names too.,"stacy angelona,                     ,                     Nov 1, 2022",https://www.etsy.com/listing/1263830459/personalized-book-dinosaur-adventure?click_key=428243773394dfe344649c88c17e2e351ea553cb%3A1263830459&click_sum=5b1fcc0a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-1047850-1-3&pro=1
9,"Personalized Book - Dinosaur Adventure - Custom Personalized Book w/child and family personalizations, great dinosaur gift for birthday","Price:,            ,            USD 32.96+",StoryOfMeGiftStore,4.5 out of 5 stars,5 out of 5 stars,My 6 year old grandson absolutely loves his new book! He loves hearing his name throughout and his family names too.,"stacy angelona,                     ,                     Nov 1, 2022",https://www.etsy.com/listing/1263830459/personalized-book-dinosaur-adventure?click_key=428243773394dfe344649c88c17e2e351ea553cb%3A1263830459&click_sum=5b1fcc0a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-1047850-1-3&pro=1
